# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
1.19904e-07     	p               	1.00000000e+05	(5.09500000e-01 1.00000000e-01 1.00000000e-01)	1.20000000e+05	(4.65000000e-02 1.00000000e-01 1.00000000e-01)
1.19904e-07     	U               	(-2.14494055e-14 -2.97670298e-29 -2.97670298e-29)	(3.05500000e-01 1.00000000e-01 1.00000000e-01)	(7.12003312e-03 1.97602136e-17 1.97602136e-17)	(5.00500000e-01 1.00000000e-01 1.00000000e-01)
1.19904e-07     	T               	2.92509802e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	2.93583601e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)
2.63651e-07     	p               	1.00000000e+05	(7.72700000e-01 1.00000000e-01 1.00000000e-01)	1.20000000e+05	(4.65000000e-02 1.00000000e-01 1.00000000e-01)
2.63651e-07     	U               	(-4.83825825e-14 0.00000000e+00 -4.58821571e-29)	(1.03100000e-01 1.00000000e-01 1.00000000e-01)	(1.14366776e-01 2.97425346e-16 2.97425346e-16)	(5.00500000e-01 1.00000000e-01 1.00000000e-01)
2.63651e-07     	T               	2.91536842e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	2.94599795e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)
4.35749e-07     	p               	1.00000000e+05	(5.69100000e-01 1.00000000e-01 1.00000000e-01)	1.20000000e+05	(3.77000000e-02 1.00000000e-01 1.00000000e-01)
4.35749e-07     	U               	(-1.12410058e-13 -8.54491231e-29 -8.54491231e-29)	(2.65900000e-01 1.00000000e-01 1.00000000e-01)	(4.90147129e-01 1.04014424e-15 1.04014424e-15)	(5.00500000e-01 1.00000000e-01 1.00000000e-01)
4.35749e-07     	T               	2.90089830e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	2.95985963e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)
6.42267e-07     	p               	1.00000000e+05	(6.22500000e-01 1.00000000e-01 1.00000000e-01)	1.20000000e+05	(1.61100000e-01 1.00000000e-01 1.00000000e-01)
6.42267e-07     	U               	(-1.34078693e-13 -1.75781053e-28 -1.75781053e-28)	(6.22700000e-01 1.00000000e-01 1.00000000e-01)	(1.44128716e+00 2.62157429e-15 2.62157429e-15)	(5.00500000e-01 1.00000000e-01 1.00000000e-01)
