# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1.19048e-07     	p               	9.99970235e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.97000000e-02 1.00000000e-01 1.00000000e-01)	0
1.19048e-07     	U               	(-1.86185608e-03 5.16768871e-18 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(4.02068624e+00 1.11907395e-14 1.11907395e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
1.19048e-07     	T               	2.92516604e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.93575552e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
2.60204e-07     	p               	9.99944432e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.59000000e-02 1.00000000e-01 1.00000000e-01)	0
2.60204e-07     	U               	(-5.72064841e-03 1.07102908e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(8.38754676e+00 1.22241899e-14 1.22241899e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
2.60204e-07     	T               	2.91568595e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.94566625e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
4.28132e-07     	p               	9.99920730e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.28100000e-01 1.00000000e-01 1.00000000e-01)	0
4.28132e-07     	U               	(-1.16308187e-02 1.64039899e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.28330030e+01 1.25804511e-14 1.25804511e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
4.28132e-07     	T               	2.90161448e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.95919128e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
6.27546e-07     	p               	9.99895870e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.05700000e-01 1.00000000e-01 1.00000000e-01)	0
6.27546e-07     	U               	(-1.95145911e-02 2.18818363e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.69444548e+01 1.18619770e-14 1.18619770e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
6.27546e-07     	T               	2.88485600e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.97347289e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
8.61857e-07     	p               	9.99866213e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.55900000e-01 1.00000000e-01 1.00000000e-01)	0
8.61857e-07     	U               	(-2.91892418e-02 2.68526719e-17 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(2.02700155e+01 9.85458878e-15 9.85458878e-15)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
