# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1.19048e-07     	p               	1.00000000e+05	(5.02300000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(2.97000000e-02 1.00000000e-01 1.00000000e-01)	0
1.19048e-07     	U               	(-1.82538818e-14 5.06646997e-29 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(4.02068624e+00 1.11907395e-14 1.11907395e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
1.19048e-07     	T               	2.92516604e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.93575552e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
2.60204e-07     	p               	1.00000000e+05	(9.52700000e-01 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.59000000e-02 1.00000000e-01 1.00000000e-01)	0
2.60204e-07     	U               	(-3.02058283e-14 -5.00615486e-29 -5.00615486e-29)	(2.10000000e-03 1.00000000e-01 1.00000000e-01)	0	(8.38754676e+00 1.22241899e-14 1.22241899e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
2.60204e-07     	T               	2.91568595e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.94566625e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
4.28132e-07     	p               	1.00000000e+05	(5.54500000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.28100000e-01 1.00000000e-01 1.00000000e-01)	0
4.28132e-07     	U               	(-8.69846926e-14 -1.19111960e-28 -5.95559802e-29)	(1.02900000e-01 1.00000000e-01 1.00000000e-01)	0	(1.28330030e+01 1.25804511e-14 1.25804511e-14)	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1
4.28132e-07     	T               	2.90161448e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	2.95919128e+02	(5.00100000e-01 1.00000000e-01 1.00000000e-01)	1
6.27546e-07     	p               	1.00000000e+05	(6.97700000e-01 1.00000000e-01 1.00000000e-01)	2	1.20000000e+05	(1.05700000e-01 1.00000000e-01 1.00000000e-01)	0
